seed mutID MAF cor_sal cor_temp mutSalEffect mutTempEffect
2549986039929 188555 0.4405 0.911765 -0.132526 0.406373 -0.0339728
2549986039929 204540 0.0592 -0.0373759 0.516048 -0.252453 0.0907401
2549986039929 253833 0.0167 -0.0206017 0.508193 -0.0716871 0.179848
2549986039929 226972 0.1228 -0.0733713 0.653594 0.0128222 0.0490191
2549986039929 190042 0.1273 0.190996 0.708088 0.4015 0.0540085
2549986039929 275831 0.0156 0.0355437 0.51189 0.0719035 -0.00137017
2549986039929 223839 0.022 0.0282913 0.622191 -0.0382914 -0.0122299
2549986039929 298861 0.0396 0.0731231 0.601467 0.0389368 0.0814631
2549986039929 264884 0.0407 -0.0655503 0.509579 -0.150351 -0.0404546
2549986039929 190263 0.2705 -0.0350852 0.810524 -0.281524 0.163255
2549986039929 247868 0.0246 0.00135536 0.18018 -0.0248656 -0.0336082
2549986039929 115116 0.1567 0.0183515 0.547894 0.0797636 0.0276082
2549986039929 169322 0.025 -0.0635682 0.510306 -0.0942624 0.0635622
2549986039929 222935 0.0337 0.0255036 0.13839 -0.0120777 -0.0195466
2549986039929 171684 0.2361 -0.00481365 0.839402 -0.0630956 0.050175
2549986039929 202217 0.0791 0.0327185 0.453872 -0.0244435 0.0974415
2549986039929 26732 0.4472 0.00160832 0.934737 -0.0190554 0.111493
2549986039929 258719 0.0671 -0.126374 0.476217 -0.0025989 -0.029551
2549986039929 258015 0.0159 0.291611 0.139392 0.1113 0.0170188
2549986039929 209177 0.0279 0.264946 0.0626276 0.447422 0.00325752
2549986039929 327814 0.0108 0.227482 -0.0625357 0.0862992 -0.0415801
2549986039929 317371 0.0363 0.0257062 -0.332996 -0.0381638 -0.0618993
2549986039929 19551 0.0752 -0.0575103 -0.31292 0.0885956 -0.129896
2549986039929 206211 0.0391 -0.154432 0.156446 -0.418812 0.0953794
2549986039929 286748 0.0495 0.0512005 -0.712165 0.0246754 0.0191192
2549986039929 178499 0.0124 1.28332e-17 -0.394598 -0.0154503 0.0444056
2549986039929 230784 0.0749 -0.0483834 -0.6469 0.0105791 -0.0210382
2549986039929 161511 0.0621 0.0123817 -0.723938 0.0685707 0.024308
2549986039929 138511 0.3287 0.00962315 -0.870891 -0.0183533 -0.133486
2549986039929 167250 0.1577 0.0427331 -0.632558 -0.0845852 0.0172794
2549986039929 186502 0.1658 -0.0280323 -0.714908 -0.17408 -0.1326
2549986039929 181651 0.0935 -0.221641 0.0101015 -0.458135 -0.000875314
2549986039929 202614 0.0782 0.348897 0.324531 0.127069 0.0245758
2549986039929 179189 0.0531 -0.107732 -0.438289 -0.386741 -0.091152
2549986039929 255443 0.0859 -0.0392789 -0.537234 -0.23484 -0.163712
2549986039929 297786 0.0187 -0.143972 -0.653489 -0.179585 -0.0732683
2549986039929 195818 0.0101 0.146091 -0.301667 0.17897 -0.18943
2549986039929 192181 0.0449 -0.147741 -0.149099 -0.30379 0.0274733
2549986039929 177693 0.0287 -0.0975622 -0.496311 -0.277934 -0.00537233
2549986039929 191716 0.058 -0.0634821 -0.404146 -0.109746 -0.0523683
2549986039929 293122 0.0109 0.0961062 -0.377933 0.376454 0.104168
2549986039929 213998 0.0508 -0.135653 -0.262808 -0.447075 -0.0457769
2549986039929 125639 0.207 0.0640117 -0.796534 0.0570846 -0.102447
2549986039929 168162 0.1524 0.0370778 -0.72281 0.210168 -0.0347449
2549986039929 321839 0.0119 0.0342469 -0.520614 -0.0404384 -0.00608105
2549986039929 280856 0.0321 0.0694255 -0.821578 0.00529138 -0.0412815
2549986039929 114512 0.0128 0.134852 -0.523041 0.156529 -0.0510409
