seed mutID muttype p cor_sal cor_temp mutSalEffect mutTempEffect
2242330863068 74007 m2 0.04005 -0.0198492 0.796295 0.112834 0.0433651
2242330863068 479756 m2 0.0209 0.037335 0.62064 0.0685687 -0.0266585
2242330863068 383279 m2 0.02595 -0.0717894 0.317989 -0.293297 0.0284075
2242330863068 70858 m2 0.02465 0.125996 -0.238064 0.109352 -0.0591581
2242330863068 268036 m2 0.1151 0.0120813 0.83318 0.530894 0.0627734
2242330863068 587645 m2 0.02245 0.100142 0.654283 -0.0839964 -0.00672477
2242330863068 329129 m2 0.0386 0.00337583 0.761587 -0.431329 0.0732817
2242330863068 535052 m2 0.01115 -0.0327465 0.622954 0.0812739 0.0800221
2242330863068 537750 m2 0.0116 -0.178377 0.563399 0.315814 0.0379924
2242330863068 362154 m2 0.0207 -0.0498082 0.457256 0.0112173 0.0601575
2242330863068 519912 m2 0.04 0.00490834 0.819387 0.190726 0.0081544
2242330863068 349427 m2 0.09355 0.0689941 0.893373 -0.0851389 0.0546643
2242330863068 193276 m2 0.0703 -0.00567517 0.802243 0.58004 0.0750451
2242330863068 566457 m2 0.012 -0.021387 0.659789 -0.324914 0.0251211
2242330863068 69293 m2 0.04165 0.0293134 -0.68017 -0.0998394 -0.129101
2242330863068 509982 m2 0.02035 -0.0460901 0.676929 -0.45336 0.0300353
2242330863068 450975 m2 0.02665 0.0279679 0.573188 -0.372494 0.0372371
2242330863068 513962 m2 0.01525 -0.0242599 0.460937 -0.235764 0.0578719
2242330863068 385064 m2 0.0512 -0.164062 0.788943 -0.0648715 0.061792
2242330863068 611692 m2 0.02095 0.0542052 0.718786 0.0801663 0.0052702
2242330863068 140934 m2 0.1517 -0.0938774 0.164467 -0.190253 -0.00715991
2242330863068 545731 m2 0.0159 0.024542 0.603579 -0.100978 0.0720438
2242330863068 60441 m2 0.28445 0.00346304 0.928722 0.465764 0.0625293
2242330863068 372932 m2 0.01355 0.0224398 0.352477 0.00641916 -0.00330858
2242330863068 466735 m2 0.01825 -0.0305848 0.711766 -0.164541 0.0503813
2242330863068 470597 m2 0.0102 -0.0458167 0.489043 0.0897627 0.0673707
2242330863068 611877 m2 0.0263 0.0474146 0.298712 -0.6157 -0.00878333
2242330863068 550190 m2 0.0161 0.0165284 0.738745 0.116492 0.0688057
2242330863068 519185 m2 0.01865 -0.0090495 -0.707573 -0.232167 0.000391065
2242330863068 188435 m2 0.29845 0.00367222 0.958199 0.0872523 0.0477096
2242330863068 606156 m2 0.01335 0.14467 0.50812 -0.258552 0.0698573
2242330863068 108532 m2 0.0121 -0.108828 -0.658279 0.2714 -0.0673613
2242330863068 437993 m2 0.01175 0.0983125 -0.365802 0.325884 0.0270454
2242330863068 179670 m2 0.03295 -0.0859071 0.769522 -0.190097 0.0486353
2242330863068 271608 m2 0.013 -0.00355566 0.0462236 0.0659509 -0.00890773
2242330863068 391640 m2 0.01225 0.0493335 0.544341 0.23464 0.00935744
2242330863068 523435 m2 0.0598 -0.200526 -0.698085 -0.505266 0.00744193
2242330863068 371544 m2 0.06475 0.0393786 0.542762 0.364358 0.0137855
