seed mutID muttype p cor_sal cor_temp mutSalEffect mutTempEffect
1231218 413347 m2 0.0262195 0.324452 0.257579 0.0281621 0.0341479
1231218 214697 m2 0.0144512 0.1506 0.173621 0.0583077 0.0413707
1231218 344205 m2 0.0694512 0.343637 0.265481 0.0203188 0.0351721
1231218 386272 m2 0.0389634 0.150657 0.174673 0.0201676 -0.0188208
1231218 221002 m2 0.119207 0.312804 0.479637 0.0458557 0.0780403
1231218 105842 m2 0.169207 0.223949 0.600826 -0.0261752 0.0658058
1231218 502675 m2 0.0128659 0.279295 0.193941 0.110821 -0.0111398
1231218 450492 m2 0.0128659 0.214165 0.0970869 -0.00689539 -0.0266557
1231218 133938 m2 0.0595732 0.249952 0.199967 0.000895476 0.019146
1231218 310446 m2 0.0880488 0.370274 0.417606 0.0484708 0.0663141
1231218 303800 m2 0.0465854 0.0919071 0.27552 0.0135892 0.049859
1231218 377802 m2 0.0410366 0.320362 0.287848 0.0796232 0.0250983
1231218 123342 m2 0.133598 0.384634 0.390715 0.0534992 -0.0338127
1231218 454142 m2 0.0196341 0.0962683 0.220557 -0.00146929 0.0105644
1231218 507243 m2 0.0437805 0.349123 0.249859 -0.0810604 0.00103322
1231218 84135 m2 0.102073 0.291598 0.329758 -0.0489141 -0.023773
1231218 217438 m2 0.0770732 0.344304 0.309227 0.0128389 0.0514208
1231218 161200 m2 0.0392683 0.098072 0.285783 0.0582988 -0.0146263
1231218 172658 m2 0.121829 0.427754 0.354001 0.02551 0.0183564
1231218 48958 m2 0.152927 0.290346 0.555304 -0.0542987 -0.0238715
1231218 446961 m2 0.0125 0.0903855 0.168489 -0.0424712 0.0498419
1231218 281401 m2 0.193902 0.429564 0.492984 0.0871682 0.0655754
1231218 252529 m2 0.0793293 0.354884 0.283022 0.100884 -0.0362881
1231218 334472 m2 0.0905488 0.379444 0.296512 0.0400209 0.0890065
1231218 77823 m2 0.102805 0.290722 0.423125 -0.0254544 -0.01056
1231218 195569 m2 0.0459146 0.0926753 0.275451 0.182503 -0.0153159
1231218 433992 m2 0.045122 0.311149 0.288773 0.128615 0.0165428
1231218 439955 m2 0.0123171 0.0904312 0.168667 0.0159118 -0.00364542
1231218 409692 m2 0.0420122 0.150085 0.174689 0.0930456 -0.00767986
1231218 267256 m2 0.104146 0.39203 0.347401 0.0644151 -0.0246845
1231218 813 m2 0.0283537 -0.199321 0.36324 -0.0576921 -0.0342548
1231218 437014 m2 0.0440244 0.289602 0.294782 -0.0319735 -0.0171637
1231218 123140 m2 0.0463415 0.0919798 0.275523 0.00233602 0.0353956
1231218 340168 m2 0.0504268 0.336621 0.285836 0.00710802 0.0109589
1231218 576015 m2 0.0253659 0.296611 0.212851 -0.000592126 -0.00216767
1231218 6947 m2 0.027561 -0.199639 0.359945 0.0108394 -0.0325373
1231218 319603 m2 0.0647561 0.258909 0.262731 0.0159539 0.00548161
1231218 147991 m2 0.0346341 0.05091 0.226254 -0.0838615 -0.0333419
1231218 238845 m2 0.0465244 0.0914348 0.275507 0.0196748 0.00397983
1231218 542772 m2 0.0293293 0.269276 0.265273 0.0163999 -0.0303783
1231218 197660 m2 0.0267683 -0.0895593 0.286299 0.00952388 0.0125197
1231218 241271 m2 0.0565244 0.385002 0.298145 -0.0142338 0.0197258
1231218 213298 m2 0.025122 -0.0912504 0.277786 -0.0213193 -0.0211345
1231218 82471 m2 0.0279268 -0.199345 0.361498 -0.05091 -0.0378844
1231218 93400 m2 0.0742683 -0.103138 0.461991 -0.000112713 0.0491233
1231218 542771 m2 0.0176829 0.223425 0.200051 0.0262517 0.0213887
1231218 506813 m2 0.0123171 0.0904312 0.168667 0.00346136 0.07497
1231218 442179 m2 0.0429268 0.263153 0.245598 -0.0481041 0.0438256
1231218 50624 m2 0.0279878 -0.199268 0.361756 0.0818404 0.056812
1231218 315796 m2 0.0259146 0.0552135 0.228217 0.0616519 -0.0402928
1231218 193017 m2 0.0335976 0.0982196 0.268735 0.0291826 0.00951111
